Analyysin tulokset 8760 tunnilta ovat seuraavat:
Sähkön keskihinta oli 7.2 snt/kWh.
Halvimmillaan sähkö oli -0.14 snt/kWh, 05.04.2021 03:00.
Kalleimmillaan sähkö oli 100.01 snt/kWh, 07.12.2021 08:00.

Päivittäiset keskiarvot (Pvm;snt/kWh):
01.01.2021;2.6
02.01.2021;3.3
03.01.2021;2.6
04.01.2021;4.3
05.01.2021;4.7
06.01.2021;4.1
07.01.2021;6.7
08.01.2021;7.7
09.01.2021;5.6
10.01.2021;4.2
11.01.2021;4.3
12.01.2021;4.4
13.01.2021;5.1
14.01.2021;7.7
15.01.2021;7.8
16.01.2021;6.3
17.01.2021;5.3
18.01.2021;6.2
19.01.2021;6.0
20.01.2021;5.5
21.01.2021;3.8
22.01.2021;3.0
23.01.2021;3.8
24.01.2021;4.8
25.01.2021;6.0
26.01.2021;6.0
27.01.2021;5.8
28.01.2021;5.9
29.01.2021;5.6
30.01.2021;4.9
31.01.2021;4.8
01.02.2021;8.7
02.02.2021;6.8
03.02.2021;5.5
04.02.2021;6.0
05.02.2021;7.9
06.02.2021;4.6
07.02.2021;4.1
08.02.2021;5.9
09.02.2021;7.2
10.02.2021;7.3
11.02.2021;10.0
12.02.2021;8.3
13.02.2021;5.3
14.02.2021;4.7
15.02.2021;6.8
16.02.2021;6.4
17.02.2021;8.0
18.02.2021;6.9
19.02.2021;6.0
20.02.2021;4.8
21.02.2021;3.5
22.02.2021;4.6
23.02.2021;4.2
24.02.2021;3.8
25.02.2021;3.3
26.02.2021;3.5
27.02.2021;3.3
28.02.2021;2.9
01.03.2021;3.4
02.03.2021;4.0
03.03.2021;4.2
04.03.2021;4.5
05.03.2021;5.3
06.03.2021;2.3
07.03.2021;2.6
08.03.2021;5.6
09.03.2021;5.4
10.03.2021;6.4
11.03.2021;3.5
12.03.2021;3.5
13.03.2021;3.0
14.03.2021;3.1
15.03.2021;5.3
16.03.2021;5.3
17.03.2021;5.0
18.03.2021;4.9
19.03.2021;5.2
20.03.2021;2.3
21.03.2021;1.8
22.03.2021;4.8
23.03.2021;3.6
24.03.2021;3.0
25.03.2021;4.3
26.03.2021;3.9
27.03.2021;1.8
28.03.2021;1.9
29.03.2021;2.4
30.03.2021;2.7
31.03.2021;3.4
01.04.2021;3.5
02.04.2021;3.0
03.04.2021;2.1
04.04.2021;1.1
05.04.2021;0.7
06.04.2021;3.2
07.04.2021;4.6
08.04.2021;5.0
09.04.2021;2.0
10.04.2021;2.0
11.04.2021;2.6
12.04.2021;4.1
13.04.2021;4.9
14.04.2021;5.6
15.04.2021;5.4
16.04.2021;4.8
17.04.2021;2.7
18.04.2021;2.5
19.04.2021;4.8
20.04.2021;4.8
21.04.2021;3.0
22.04.2021;3.3
23.04.2021;2.5
24.04.2021;1.8
25.04.2021;1.6
26.04.2021;5.6
27.04.2021;6.1
28.04.2021;6.0
29.04.2021;5.7
30.04.2021;5.1
01.05.2021;4.6
02.05.2021;4.5
03.05.2021;6.1
04.05.2021;6.3
05.05.2021;4.5
06.05.2021;6.0
07.05.2021;6.6
08.05.2021;4.8
09.05.2021;2.7
10.05.2021;4.3
11.05.2021;4.1
12.05.2021;4.7
13.05.2021;3.5
14.05.2021;3.8
15.05.2021;2.2
16.05.2021;2.9
17.05.2021;6.0
18.05.2021;6.1
19.05.2021;5.9
20.05.2021;4.6
21.05.2021;3.5
22.05.2021;3.5
23.05.2021;2.1
24.05.2021;5.4
25.05.2021;5.8
26.05.2021;4.7
27.05.2021;5.3
28.05.2021;5.6
29.05.2021;4.1
30.05.2021;3.0
31.05.2021;5.0
01.06.2021;6.0
02.06.2021;6.4
03.06.2021;5.7
04.06.2021;5.8
05.06.2021;4.3
06.06.2021;4.1
07.06.2021;6.6
08.06.2021;6.6
09.06.2021;6.6
10.06.2021;7.0
11.06.2021;5.9
12.06.2021;3.1
