Aika;Yö (kWh);Päivä (kWh)
01.01.2021 00;3.49;0.00
01.01.2021 01;2.03;0.00
01.01.2021 02;2.76;0.00
01.01.2021 03;2.82;0.00
01.01.2021 04;2.97;0.00
01.01.2021 05;2.94;0.00
01.01.2021 06;2.94;0.00
01.01.2021 07;0.00;2.91
01.01.2021 08;0.00;2.53
01.01.2021 09;0.00;2.20
01.01.2021 10;0.00;2.17
01.01.2021 11;0.00;2.20
01.01.2021 12;0.00;2.33
01.01.2021 13;0.00;2.53
01.01.2021 14;0.00;2.67
01.01.2021 15;0.00;3.03
01.01.2021 16;0.00;3.06
01.01.2021 17;0.00;3.07
01.01.2021 18;0.00;4.43
01.01.2021 19;0.00;3.51
01.01.2021 20;0.00;2.83
01.01.2021 21;0.00;2.52
01.01.2021 22;3.93;0.00
01.01.2021 23;3.69;0.00
02.01.2021 00;3.94;0.00
02.01.2021 01;2.31;0.00
02.01.2021 02;2.48;0.00
02.01.2021 03;2.75;0.00
02.01.2021 04;2.36;0.00
02.01.2021 05;2.79;0.00
02.01.2021 06;2.35;0.00
02.01.2021 07;0.00;2.75
02.01.2021 08;0.00;2.17
02.01.2021 09;0.00;1.90
02.01.2021 10;0.00;1.93
02.01.2021 11;0.00;2.23
02.01.2021 12;0.00;2.05
02.01.2021 13;0.00;3.64
02.01.2021 14;0.00;2.77
02.01.2021 15;0.00;2.58
02.01.2021 16;0.00;3.38
02.01.2021 17;0.00;3.05
02.01.2021 18;0.00;3.00
02.01.2021 19;0.00;3.69
02.01.2021 20;0.00;4.58
02.01.2021 21;0.00;2.68
02.01.2021 22;4.32;0.00
02.01.2021 23;4.10;0.00
03.01.2021 00;4.03;0.00
03.01.2021 01;3.19;0.00
03.01.2021 02;2.62;0.00
03.01.2021 03;2.90;0.00
03.01.2021 04;2.42;0.00
03.01.2021 05;2.88;0.00
03.01.2021 06;2.48;0.00
03.01.2021 07;0.00;2.83
03.01.2021 08;0.00;1.88
03.01.2021 09;0.00;2.32
03.01.2021 10;0.00;1.92
03.01.2021 11;0.00;1.91
03.01.2021 12;0.00;2.65
03.01.2021 13;0.00;2.08
03.01.2021 14;0.00;3.17
03.01.2021 15;0.00;3.88
03.01.2021 16;0.00;3.40
03.01.2021 17;0.00;2.67
03.01.2021 18;0.00;2.99
03.01.2021 19;0.00;2.30
03.01.2021 20;0.00;2.53
03.01.2021 21;0.00;2.01
03.01.2021 22;3.97;0.00
03.01.2021 23;3.45;0.00
04.01.2021 00;2.31;0.00
04.01.2021 01;1.78;0.00
04.01.2021 02;2.62;0.00
04.01.2021 03;2.19;0.00
04.01.2021 04;2.57;0.00
04.01.2021 05;2.23;0.00
04.01.2021 06;2.59;0.00
04.01.2021 07;0.00;2.16
04.01.2021 08;0.00;2.45
04.01.2021 09;0.00;1.71
04.01.2021 10;0.00;2.24
04.01.2021 11;0.00;2.06
04.01.2021 12;0.00;2.42
04.01.2021 13;0.00;2.97
04.01.2021 14;0.00;3.06
04.01.2021 15;0.00;2.69
04.01.2021 16;0.00;3.33
04.01.2021 17;0.00;3.24
04.01.2021 18;0.00;2.93
04.01.2021 19;0.00;3.15
04.01.2021 20;0.00;3.35
04.01.2021 21;0.00;2.97
04.01.2021 22;4.11;0.00
04.01.2021 23;4.11;0.00
05.01.2021 00;2.67;0.00
05.01.2021 01;2.83;0.00
05.01.2021 02;2.62;0.00
05.01.2021 03;2.96;0.00
05.01.2021 04;2.76;0.00
05.01.2021 05;3.01;0.00
05.01.2021 06;3.17;0.00
05.01.2021 07;0.00;3.33
05.01.2021 08;0.00;3.92
05.01.2021 09;0.00;1.85
05.01.2021 10;0.00;2.48
05.01.2021 11;0.00;2.29
05.01.2021 12;0.00;2.53
05.01.2021 13;0.00;4.12
05.01.2021 14;0.00;3.98
05.01.2021 15;0.00;3.47
05.01.2021 16;0.00;2.89
05.01.2021 17;0.00;3.25
05.01.2021 18;0.00;3.01
05.01.2021 19;0.00;3.60
05.01.2021 20;0.00;3.65
05.01.2021 21;0.00;3.73
05.01.2021 22;5.98;0.00
05.01.2021 23;4.48;0.00
06.01.2021 00;4.15;0.00
06.01.2021 01;2.07;0.00
06.01.2021 02;2.14;0.00
06.01.2021 03;2.85;0.00
06.01.2021 04;2.79;0.00
06.01.2021 05;3.05;0.00
06.01.2021 06;2.65;0.00
06.01.2021 07;0.00;3.02
06.01.2021 08;0.00;2.77
06.01.2021 09;0.00;3.65
06.01.2021 10;0.00;3.85
06.01.2021 11;0.00;3.15
06.01.2021 12;0.00;2.66
06.01.2021 13;0.00;2.86
06.01.2021 14;0.00;3.45
06.01.2021 15;0.00;2.16
06.01.2021 16;0.00;2.96
06.01.2021 17;0.00;2.53
06.01.2021 18;0.00;2.80
06.01.2021 19;0.00;3.37
06.01.2021 20;0.00;3.48
06.01.2021 21;0.00;4.29
06.01.2021 22;4.84;0.00
06.01.2021 23;4.83;0.00
07.01.2021 00;2.29;0.00
07.01.2021 01;2.06;0.00
07.01.2021 02;1.90;0.00
07.01.2021 03;2.16;0.00
07.01.2021 04;2.05;0.00
07.01.2021 05;2.79;0.00
07.01.2021 06;3.52;0.00
07.01.2021 07;0.00;3.84
07.01.2021 08;0.00;5.42
07.01.2021 09;0.00;3.07
07.01.2021 10;0.00;3.49
07.01.2021 11;0.00;2.62
07.01.2021 12;0.00;3.18
07.01.2021 13;0.00;2.35
07.01.2021 14;0.00;2.37
07.01.2021 15;0.00;3.52
07.01.2021 16;0.00;3.24
07.01.2021 17;0.00;2.85
07.01.2021 18;0.00;3.57
07.01.2021 19;0.00;3.55
07.01.2021 20;0.00;3.05
07.01.2021 21;0.00;4.53
07.01.2021 22;4.84;0.00
07.01.2021 23;6.00;0.00
08.01.2021 00;3.49;0.00
08.01.2021 01;3.14;0.00
08.01.2021 02;3.22;0.00
08.01.2021 03;3.05;0.00
08.01.2021 04;2.40;0.00
08.01.2021 05;2.14;0.00
08.01.2021 06;2.11;0.00
08.01.2021 07;0.00;1.84
08.01.2021 08;0.00;6.14
08.01.2021 09;0.00;3.64
08.01.2021 10;0.00;2.82
08.01.2021 11;0.00;2.66
08.01.2021 12;0.00;3.17
08.01.2021 13;0.00;3.06
08.01.2021 14;0.00;3.15
08.01.2021 15;0.00;4.02
08.01.2021 16;0.00;3.22
08.01.2021 17;0.00;3.60
08.01.2021 18;0.00;3.06
08.01.2021 19;0.00;4.12
08.01.2021 20;0.00;3.12
08.01.2021 21;0.00;3.14
08.01.2021 22;5.52;0.00
08.01.2021 23;4.78;0.00
09.01.2021 00;5.06;0.00
09.01.2021 01;4.22;0.00
