       Pvm:  kWh
01.01.2021:   70
02.01.2021:   70
03.01.2021:   66
04.01.2021:   65
05.01.2021:   79
06.01.2021:   76
07.01.2021:   78
08.01.2021:   81
09.01.2021:   84
10.01.2021:   82
11.01.2021:   91
12.01.2021:  100
13.01.2021:  115
14.01.2021:  109
15.01.2021:  134
16.01.2021:  136
17.01.2021:  107
18.01.2021:   92
19.01.2021:   79
20.01.2021:   75
21.01.2021:   85
22.01.2021:   89
23.01.2021:   74
24.01.2021:   69
25.01.2021:   77
26.01.2021:   68
27.01.2021:   64
28.01.2021:   64
29.01.2021:   67
30.01.2021:   71
31.01.2021:   76
01.02.2021:   99
02.02.2021:   90
03.02.2021:   86
04.02.2021:  100
05.02.2021:  120
06.02.2021:  103
07.02.2021:   94
08.02.2021:   92
09.02.2021:  108
10.02.2021:  110
11.02.2021:  103
12.02.2021:  102
13.02.2021:   91
14.02.2021:   87
15.02.2021:   95
16.02.2021:   93
17.02.2021:  110
18.02.2021:  116
19.02.2021:  102
20.02.2021:   88
21.02.2021:   94
22.02.2021:   97
23.02.2021:  109
24.02.2021:   91
25.02.2021:   78
26.02.2021:   66
27.02.2021:   63
28.02.2021:   70
01.03.2021:   76
02.03.2021:   75
03.03.2021:   83
04.03.2021:   92
05.03.2021:   97
06.03.2021:   95
07.03.2021:   75
08.03.2021:   97
09.03.2021:  107
10.03.2021:  103
11.03.2021:  102
12.03.2021:   97
13.03.2021:   73
14.03.2021:   68
15.03.2021:   73
16.03.2021:   78
17.03.2021:   83
18.03.2021:   78
19.03.2021:   88
20.03.2021:   83
21.03.2021:   68
22.03.2021:   78
23.03.2021:   82
24.03.2021:   60
25.03.2021:   60
26.03.2021:   66
27.03.2021:   59
28.03.2021:   49
29.03.2021:   70
30.03.2021:   54
31.03.2021:   50
01.04.2021:   56
02.04.2021:   58
03.04.2021:   71
04.04.2021:   68
05.04.2021:   78
06.04.2021:   81
07.04.2021:   71
08.04.2021:   69
09.04.2021:   72
10.04.2021:   61
11.04.2021:   52
12.04.2021:   43
13.04.2021:   51
14.04.2021:   52
15.04.2021:   52
16.04.2021:   54
17.04.2021:   46
18.04.2021:   47
19.04.2021:   48
20.04.2021:   51
21.04.2021:   55
22.04.2021:   52
23.04.2021:   55
24.04.2021:   60
25.04.2021:   78
26.04.2021:   69
27.04.2021:   73
28.04.2021:   71
29.04.2021:   55
30.04.2021:   50
01.05.2021:   54
02.05.2021:   53
03.05.2021:   55
04.05.2021:   60
05.05.2021:   56
06.05.2021:   66
07.05.2021:   61
08.05.2021:   50
09.05.2021:   47
10.05.2021:   40
11.05.2021:   29
12.05.2021:   20
13.05.2021:   19
14.05.2021:   29
15.05.2021:   21
16.05.2021:   26
17.05.2021:   27
18.05.2021:   23
19.05.2021:   28
20.05.2021:   29
21.05.2021:   39
22.05.2021:   42
23.05.2021:   37
24.05.2021:   36
25.05.2021:   42
26.05.2021:   45
27.05.2021:   36
28.05.2021:   31
29.05.2021:   36
30.05.2021:   34
31.05.2021:   36
01.06.2021:   33
02.06.2021:   23
03.06.2021:   24
04.06.2021:   23
05.06.2021:   33
06.06.2021:   37
07.06.2021:   33
08.06.2021:   29
09.06.2021:   21
10.06.2021:   18
11.06.2021:   17
12.06.2021:   24
13.06.2021:   19
14.06.2021:   15
15.06.2021:   23
16.06.2021:   30
17.06.2021:   24
18.06.2021:   21
19.06.2021:   13
20.06.2021:   12
21.06.2021:   20
22.06.2021:   32
23.06.2021:   34
24.06.2021:   30
25.06.2021:   26
26.06.2021:   26
27.06.2021:   20
28.06.2021:   25
29.06.2021:   22
30.06.2021:   24
01.07.2021:   20
02.07.2021:   27
03.07.2021:   25
04.07.2021:   32
05.07.2021:   25
06.07.2021:   20
07.07.2021:   20
08.07.2021:   20
09.07.2021:   19
10.07.2021:   20
11.07.2021:   19
12.07.2021:   11
13.07.2021:   10
14.07.2021:   10
15.07.2021:   10
16.07.2021:   15
17.07.2021:   21
18.07.2021:   13
19.07.2021:   10
20.07.2021:   10
21.07.2021:   10
22.07.2021:   11
23.07.2021:   16
24.07.2021:   27
25.07.2021:   26
26.07.2021:   19
27.07.2021:   27
28.07.2021:   17
29.07.2021:   13
30.07.2021:   10
31.07.2021:   10
01.08.2021:   10
02.08.2021:   10
03.08.2021:   11
04.08.2021:   16
05.08.2021:   12
06.08.2021:   11
07.08.2021:   11
08.08.2021:   10
09.08.2021:   10
10.08.2021:   10
11.08.2021:   10
12.08.2021:   10
13.08.2021:   10
14.08.2021:   10
15.08.2021:   11
16.08.2021:   12
17.08.2021:   11
18.08.2021:   11
19.08.2021:   15
20.08.2021:   16
21.08.2021:   30
22.08.2021:   36
23.08.2021:   39
24.08.2021:   37
25.08.2021:   30
26.08.2021:   34
27.08.2021:   21
28.08.2021:   13
29.08.2021:   11
30.08.2021:   17
31.08.2021:   22
01.09.2021:   23
02.09.2021:   29
03.09.2021:   33
04.09.2021:   32
05.09.2021:   30
06.09.2021:   23
07.09.2021:   14
08.09.2021:   14
09.09.2021:   18
10.09.2021:   18
11.09.2021:   16
12.09.2021:   21
13.09.2021:   23
14.09.2021:   43
15.09.2021:   38
16.09.2021:   33
17.09.2021:   40
18.09.2021:   55
19.09.2021:   56
20.09.2021:   37
21.09.2021:   29
22.09.2021:   32
23.09.2021:   36
24.09.2021:   34
25.09.2021:   32
26.09.2021:   30
27.09.2021:   40
28.09.2021:   52
29.09.2021:   31
30.09.2021:   22
01.10.2021:   29
02.10.2021:   28
03.10.2021:   29
04.10.2021:   32
05.10.2021:   35
06.10.2021:   24
07.10.2021:   23
08.10.2021:   23
09.10.2021:   28
10.10.2021:   33
11.10.2021:   36
12.10.2021:   41
13.10.2021:   45
14.10.2021:   46
15.10.2021:   51
16.10.2021:   44
17.10.2021:   47
18.10.2021:   50
19.10.2021:   46
20.10.2021:   52
21.10.2021:   27
22.10.2021:   36
23.10.2021:   48
24.10.2021:   47
25.10.2021:   47
26.10.2021:   43
27.10.2021:   39
28.10.2021:   38
29.10.2021:   33
30.10.2021:   40
31.10.2021:   46
01.11.2021:   50
02.11.2021:   52
03.11.2021:   54
04.11.2021:   41
05.11.2021:   38
06.11.2021:   48
07.11.2021:   49
08.11.2021:   54
09.11.2021:   60
10.11.2021:   44
11.11.2021:   43
12.11.2021:   44
13.11.2021:   45
14.11.2021:   54
15.11.2021:   53
16.11.2021:   45
17.11.2021:   42
18.11.2021:   45
19.11.2021:   49
20.11.2021:   48
21.11.2021:   57
22.11.2021:   62
23.11.2021:   62
24.11.2021:   54
25.11.2021:   54
26.11.2021:   68
27.11.2021:   83
28.11.2021:   86
29.11.2021:   98
30.11.2021:   89
01.12.2021:   80
02.12.2021:   85
03.12.2021:   91
04.12.2021:   95
05.12.2021:   99
06.12.2021:   99
07.12.2021:   99
08.12.2021:  102
09.12.2021:  124
10.12.2021:  116
11.12.2021:   88
12.12.2021:   73
13.12.2021:   73
14.12.2021:   60
15.12.2021:   59
16.12.2021:   58
17.12.2021:   59
18.12.2021:   63
19.12.2021:   73
20.12.2021:   95
21.12.2021:  108
22.12.2021:  127
23.12.2021:   99
24.12.2021:  104
25.12.2021:  126
26.12.2021:  120
27.12.2021:  100
28.12.2021:   92
29.12.2021:   73
30.12.2021:   73
31.12.2021:   66
